isbn|name|category|writer|publisher|first_pub_date|page_count
9786050939828|Huzursuzluk|Roman|Zülfü Livaneli|Doğan Kitap|2017|160
9789750735646|Aylak Adam|Roman|Yusuf Atılgan|Can Yayınları|2017|192
9789750730153|Veronika Ölmek İstiyor|Roman|Paulo Coelho|Can Yayınları|2010|203
9786050914443|Kardeşimin Hikayesi|Roman|Zülfü Livaneli|Doğan Kitap|2013|330
9789750719363|Yüzyıllık Yalnızlık|Roman|Gabriel Garcia Marquez|Can Yayınları|2016|464
9786059670999|Hint Masalları|Roman|Kolektif|Karakarga|2018|272
2789788614676|İmzalı-Uyumsuz Defne Kaman'ın Maceraları-Hava - Defter Hediyeli|Roman|Buket Uzuner|Everest Yayınları|2018|330
9786052953433|Bir Kuzey Macerası|Roman|Jack London|İş Bankası Kültür Yayınları|2018|56
9789755707402|Gazap Üzümleri|Roman|John Steinbeck|Sel Yayıncılık|2015|556
9786052241639|İran Masalları 2|Roman|Kolektif|Karakarga|2018|272
9789750807145|İnce Memed 1|Roman|Yaşar Kemal|Yapı Kredi Yayınları|2007|448
9786053758730|God of War: Resmi Roman Uyarlaması|Roman|J. M. Barlog|İthaki Yayınları|2018|404
9789755102108|Bulantı|Roman|Jean-Paul Sartre|Can Yayınları|1994|264
9789754704723|Puslu Kıtalar Atlası|Roman|İhsan Oktay Anar|İletişim Yayıncılık|1995|238
9786052953204|Zacharius Usta|Roman|Jules Verne|İş Bankası Kültür Yayınları|2018|56
9789750810039|Semerkant|Roman|Amin Maalouf|Yapı Kredi Yayınları|2001|256
9786052361801|Karantina|Roman|Beyza Alkoç|İndigo Kitap|2018|448
9786052361931|Karantina-Üçüncü Perde-Mahşerin Dört Atlısının Hikayesi|Roman|Beyza Alkoç|İndigo Kitap|2018|336
9786055819439|Mumu|Roman|Ivan Sergeyeviç Turgenyev|Helikopter|2015|124
9789754058789|Acı Kahve|Roman|Agatha Christie|Altın Kitaplar|2018|152
9786051922454|Misafir|Roman|Nermin Yıldırım|Hep Kitap|2018|332
9789750802959|Harry Potter ve Sırlar Odası - 2.kitap|Roman|J. K. Rowling|Yapı Kredi Yayınları|2005|316
9789750842597|Bildiğimiz Dünyanın Sonu|Roman|Erlend Loe|Yapı Kredi Yayınları|2018|224
9789754700114|Tutunamayanlar - Bütün Eserleri - 1|Roman|Oğuz Atay|İletişim Yayıncılık|2000|724
9786051852973|Uyumsuz Defne Kaman'ın Maceraları-Hava|Roman|Buket Uzuner|Everest Yayınları|2018|330
9786050955569|Kızılgerdan|Roman|Jo Nesbo|Doğan Kitap|2018|580
9786052954539|Kızıl-Modern Klasikler Dizisi 116|Roman|Stefan Zweig|İş Bankası Kültür Yayınları|2018|72
9789754370485|Dokuzuncu Hariciye Koğuşu|Roman|Peyami Safa|Ötüken Neşriyat|1996|112
9789750832208|Günden Kalanlar|Roman|Kazuo Ishiguro|Yapı Kredi Yayınları|2015|208
9789750835605|Kırmızı Saçlı Kadın|Roman|Orhan Pamuk|Yapı Kredi Yayınları|2016|204
9789759917951|Kinyas ve Kayra|Roman|Hakan Günday|Doğan Kitap|2003|576
9786057976017|Paris'ten Çiçeklerle|Roman|Sarah Jio|Pena Yayınları|2018|344
9789750809774|Doğu'nun Limanları|Roman|Amin Maalouf|Yapı Kredi Yayınları|1996|176
9786053758617|Cesur Yeni Dünyayı Ziyaret|Roman|Aldous Huxley|İthaki Yayınları|2018|128
9786052953440|Geçmişe Yolculuk|Roman|Stefan Zweig|İş Bankası Kültür Yayınları|2018|56
9789758434572|Sofie'nin Dünyası|Roman|Jostein Gaarder|Pan Yayıncılık|2002|587
9786052361924|Karantina-Üçüncü Perde-Mahşerin Dört Atlısının Hikayesi|Roman|Beyza Alkoç|İndigo Kitap|2018|336
9789750803314|Harry Potter ve Ateş Kadehi - 4.kitap|Roman|J. K. Rowling|Yapı Kredi Yayınları|2000|660
9789750732737|Gülün Adı|Roman|Umberto Eco|Can Yayınları|1999|605
9786053608288|Kumarbaz - Hasan Ali Yücel Klasikleri|Roman|Fyodor Mihayloviç Dostoyevski|İş Bankası Kültür Yayınları|2013|192
9789750705243|Benim Hüzünlü Orospularım|Roman|Gabriel Garcia Marquez|Can Yayınları|2005|96
9789752124165|Örümcek Ağı|Roman|Agatha Christie|Altın Kitaplar|2018|192
9789750807213|Kuşlar da Gitti|Roman|Yaşar Kemal|Yapı Kredi Yayınları|2003|79
9789944880985|Karamazov Kardeşler - Hasan Ali Yücel Klasikleri|Roman|Fyodor Mihayloviç Dostoyevski|İş Bankası Kültür Yayınları|2007|1016
9786053323112|Genç Bir Doktorun Anıları|Roman|Mihayl Afanasyeviç Bulgakov|İş Bankası Kültür Yayınları|2014|168
9789750713392|İki Şehrin Hikayesi|Roman|Charles Dickens|Can Yayınları|2011|464
9786053325536|Yakıcı Sır|Roman|Stefan Zweig|İş Bankası Kültür Yayınları|2015|96
9786053324249|Dava|Roman|Franz Kafka|İş Bankası Kültür Yayınları|2015|224
9789752554627|Beyaz Zambaklar Ülkesinde|Roman|Grigory Petrov|IQ Kültür Sanat Yayıncılık|2017|200
9789750726170|Varolmanın Dayanılmaz Hafifliği|Roman|Milan Kundera|Can Yayınları|2015|336
9789750716089|İnsancıklar|Roman|Fyodor Mihayloviç Dostoyevski|Can Yayınları|2013|184
9789755391465|Nietzsche Ağladığında|Roman|Irvin D. Yalom|Ayrıntı Yayınları|2000|432
9786053115021|Bukre Kalp|Roman|Kahraman Tazeoğlu|Destek Yayınları|2018|232
9789750807046|Yılanı Öldürseler|Roman|Yaşar Kemal|Yapı Kredi Yayınları|1976|112
9786050955699|Kalp Gidince|Roman|Margaret Atwood|Doğan Kitap|2018|400
9789754050943|Doğu Ekspresinde Cinayet|Roman|Agatha Christie|Altın Kitaplar|2007|170
9789755708553|Mevsim Yas|Roman|Mehtap Ceyran|Sel Yayıncılık|2017|214
9789750807411|Ağrıdağı Efsanesi|Roman|Yaşar Kemal|Yapı Kredi Yayınları|2007|130
9786052981320|Görmek|Roman|Jose Saramago|Kırmızı Kedi|2017|324
9789754051520|Hayvan Mezarlığı - Gecenin Pençesi|Roman|Stephen King|Altın Kitaplar|2003|399
9786050906486|Leyla'nın Evi|Roman|Zülfü Livaneli|Doğan Kitap|2012|284
